regime,left,right,length,source,metric,mean,ci95_low,ci95_high
0p6b_full,prc,gumbel_on,1024,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,tpr,-0.01,-0.03,0.0
0p6b_full,prc,gumbel_on,400,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,distinct_3,0.0017839195979899602,-0.007010678391959809,0.009951633165829137
0p6b_full,prc,gumbel_on,400,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,repeated_4gram_fraction,0.001914357682619644,-0.0031486146095717773,0.007506297229219135
0p6b_full,prc,gumbel_on,400,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,self_bleu,-0.4192489029004267,-0.4847041347429241,-0.3564303073185451
0p6b_full,prc,gumbel_on,400,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,tpr,-0.21,-0.3,-0.12
0p6b_full,prc,null,1024,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,distinct_3,-0.007827788649706464,-0.024266389432485325,0.0089941291585127
0p6b_full,prc,null,1024,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,repeated_4gram_fraction,0.0058863858961802126,-0.009913320274240944,0.020539177277179237
0p6b_full,prc,null,1024,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,self_bleu,-0.0006158818889552091,-0.0029007215533082714,0.0017208459897371073
0p6b_full,prc,null,400,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,distinct_3,-0.006231155778894464,-0.013970477386934667,0.0004780150753769097
0p6b_full,prc,null,400,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,repeated_4gram_fraction,0.004937027707808562,0.0005541561712846353,0.010076196473551633
0p6b_full,prc,null,400,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,self_bleu,-0.0017358553425875286,-0.004190689703151524,0.0006998084519746612
0p6b_full,synthid_depth2,null,1024,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,distinct_3,0.0037866927592954914,-0.011673434442270064,0.020717465753424646
0p6b_full,synthid_depth2,null,1024,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,repeated_4gram_fraction,-0.0033104799216454417,-0.018550685602350625,0.010148628795298719
0p6b_full,synthid_depth2,null,1024,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,self_bleu,-0.0011296482250810291,-0.0035394272114650507,0.0014710696284759238
0p6b_full,synthid_depth2,null,400,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,distinct_3,5.0251256281408364e-05,-0.007136306532663327,0.006885050251256287
0p6b_full,synthid_depth2,null,400,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,repeated_4gram_fraction,0.00073047858942065,-0.004609571788413109,0.006675692695214101
0p6b_full,synthid_depth2,null,400,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,self_bleu,-0.0005324981947777989,-0.003345662840511838,0.002508829442526026
0p6b_full,synthid_depth10,null,1024,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,distinct_3,-0.001506849315068488,-0.013386252446183954,0.010637720156555766
0p6b_full,synthid_depth10,null,1024,outputs/self_bleu_full_vocab/qwen3_0p6b_v1/summary.json,repeated_4gram_fraction,0.00019588638589618235,-0.011116797257590594,0.010656953966699315
